mp-758849,0.2001
mp-780243,0.2004
mp-772554,0.2004
mp-776261,0.2007
mp-775210,0.2012
mp-849482,0.2015
mp-761944,0.2015
mp-776141,0.2018
mp-745163,0.2022
mp-755115,0.2027
mp-769965,0.2027
mp-770842,0.2028
mp-769290,0.2028
mp-21644,0.2034
mp-770681,0.2035
mp-31132,0.2036
mp-769626,0.2041
mp-20461,0.2052
mp-975237,0.2053
mp-781618,0.2056
mp-770671,0.2058
mp-980386,0.2058
mp-770691,0.2059
mp-778584,0.2063
mp-755864,0.2065
mp-850916,0.2066
mp-567394,0.2066
mp-540878,0.2067
mp-675770,0.2075
mp-761572,0.2076
mp-557296,0.2077
mp-707879,0.2089
mp-758413,0.209
mp-722310,0.2104
mp-653450,0.2108
mp-765222,0.2109
mp-758270,0.2111
mp-540496,0.2111
mp-642660,0.2122
mp-555953,0.2123
mp-770403,0.2125
mp-765618,0.213
mp-864993,0.2135
mp-675271,0.2139
mp-759287,0.2142
mp-997021,0.2146
mp-758201,0.2148
mp-19238,0.2149
mp-758945,0.2156
mp-757327,0.2165
mp-8938,0.2167
mp-758447,0.217
mp-761809,0.2174
mp-13308,0.2175
mp-774874,0.2182
mp-554014,0.2184
mp-7691,0.2188
mp-759704,0.2189
mp-684066,0.2196
mp-22225,0.22
mp-773319,0.2201
mp-765656,0.2202
mp-24811,0.2204
mp-779153,0.2214
mp-690566,0.2215
mp-33300,0.2218
mp-705300,0.2219
mp-673096,0.2222
mp-16801,0.2226
mp-769702,0.2237
mp-28111,0.2238
mp-764746,0.2241
mp-849704,0.2245
mp-756526,0.2247
mp-560136,0.2255
mp-758002,0.226
mp-758151,0.226
mp-694875,0.2261
mp-775520,0.2261
mp-504966,0.2268
mp-12015,0.2277
mp-758240,0.2286
mp-6252,0.229
mp-648069,0.2294
mp-770651,0.2294
mp-769578,0.2295
mp-18515,0.2298
mp-22688,0.2317
mp-28908,0.232
mp-777623,0.2327
mp-555093,0.2332
mp-764452,0.2335
mp-776432,0.2335
mp-679985,0.2337
mp-25400,0.2339
mp-780123,0.2354
mp-769542,0.2357
mp-758891,0.2363
mp-755399,0.2364
mp-849671,0.2365
mp-34296,0.2368
mp-20329,0.2368
mp-780489,0.2369
mp-763211,0.237
mp-756909,0.2374
mp-26301,0.2376
mp-554410,0.238
mp-698594,0.2388
mp-883,0.2401
mp-850986,0.2407
mp-22061,0.2411
mp-704227,0.2415
mp-764044,0.2418
mp-849667,0.2419
mp-578931,0.2421
mp-757325,0.2422
mp-850921,0.2431
mp-581370,0.2433
mp-559415,0.2441
mp-775334,0.2445
mp-643378,0.2454
mp-753532,0.2456
mp-676517,0.246
mp-17193,0.246
mp-19063,0.2464
mp-505365,0.2471
mp-755159,0.2486
mp-772324,0.2486
mp-754444,0.2489
mp-770528,0.2492
mp-780936,0.2493
mp-22660,0.2498
mp-733650,0.25
mp-556236,0.2501
mp-721471,0.2504
mp-867680,0.2506
mp-779897,0.2507
mp-776628,0.251
mp-762344,0.2512
mp-863403,0.2513
mp-758056,0.2514
mp-541482,0.2514
mp-1018139,0.2515
mp-549158,0.2516
mp-756229,0.2521
mp-757551,0.2524
mp-9360,0.2529
mp-26267,0.2531
mp-625894,0.2533
mp-753845,0.2533
mp-15144,0.2536
mp-698576,0.2537
mp-24073,0.2553
mp-25871,0.2558
mp-755495,0.256
mp-776165,0.2565
mp-775435,0.2566
mp-770547,0.2588
mp-684721,0.2589
mp-775971,0.2589
mp-558408,0.2593
mp-776001,0.2598
mp-771089,0.2598
mp-3790,0.2602
mp-772782,0.2609
mp-684108,0.2612
mp-12911,0.2614
mp-569001,0.2622
mp-27615,0.2632
mp-622122,0.2635
mp-10950,0.2637
mp-770527,0.2638
mp-772596,0.2638
mp-777668,0.2642
mp-777312,0.2645
mp-704204,0.2652
mp-780097,0.2654
mp-773007,0.2662
mp-686705,0.2677
mp-19013,0.2686
mp-1009555,0.2692
mp-20930,0.2695
mp-5575,0.2698
mp-1019774,0.2709
mp-775200,0.2713
mp-761143,0.2717
mp-651688,0.2731
mp-542515,0.2738
mp-764909,0.2739
mp-26303,0.2753
mp-775196,0.2757
mp-4359,0.2764
mp-850948,0.2777
mp-780318,0.2781
mp-26285,0.2786
mp-772564,0.2788
mp-757053,0.2793
mp-8212,0.2797
mp-758063,0.2809
mp-763324,0.2811
mp-755027,0.2812
mp-763225,0.2822
mp-632759,0.2823
mp-771733,0.2823
mp-19485,0.2826
mp-997048,0.2835
mp-586092,0.2837
mp-755060,0.2837
mp-755654,0.2839
mp-559352,0.2851
mp-779885,0.2857
mp-757816,0.286
mp-9637,0.2862
mp-32069,0.2866
mp-26113,0.2869
mp-764889,0.2871
mp-779908,0.2871
mp-694884,0.2897
mp-19360,0.2898
mp-778661,0.29
mp-4643,0.2909
mp-703398,0.2912
mp-781051,0.2919
mp-754897,0.2922
mp-997018,0.2922
mp-780510,0.2926
mp-627993,0.2927
mp-983589,0.2927
mp-775296,0.2933
mp-867583,0.2936
mp-769483,0.2938
mp-540424,0.2939
mp-766058,0.2939
mp-722280,0.295
mp-23358,0.2954
mp-849518,0.2968
